Level,Main Chapter,Lesson Title,Source Type,Source URL,Content,Token Count,Access,Last Updated,Last Index Time
Foundation,, Top Tip Action Button Placement.Txt,text,,"
Remember to adjust the action buttons to the left, within your profile customizations - as when working on a larger screen, you may prefer the more user-friendly option of having them closer to the other common cockpit actions.
",44,public,2024-05-16 14:34:35.176618,
Foundation,, Global Search.Txt,transcription,,we can now learn about the global search functionality this allows you to find script content across all of your service scripts across all of your projects here I search a part number and you can see the project and the name of the Script clicking this button opens a preview of The Script and clicking this button takes you to the Script so you can edit it,68,public,2024-05-16 14:34:35.177171,
Foundation,, Exercise Roles Within The Launchpad Tiles And Tile Groups.Txt,text,,"
Exercise: Configure a new user with a role, that is also assigned to a tile group, and that group is assigned to a Launchpad. View the Launchpad with both the user with, and another user without the role - to observe the different perspectives.Remember you can open another browser, or a private session of the same browser, to login with the second account.
",76,public,2024-05-16 14:34:35.177593,
Foundation,, Default Database Configuration.Txt,text,,"
By default, the platform will be running on its embedded SQLite database.The platform can and should be configured with different databases for productive purposes.  This still utilizes the same Table Tools.This is not required for this training course, however, if you wish to learn more, you can read about the settings to configure within the Documentation:https://docs.neptune-software.com/neptune-dxp-open-edition/23/installation-guide/configuring-database.html
",93,public,2024-05-16 14:34:35.178052,
Foundation,, Disclaimer.Txt,text,,"
Like most current AI models, there are possibilities for responses to contain inaccuracies. Naia might for example, suggest using tools or components that don't exist. Naia can make mistakes. Consider checking important information.
",44,public,2024-05-16 14:34:35.178493,
Foundation,, Locks.Txt,text,,"
It is good to know that Edit Mode = Locked, and the tool Lock Entries exists to facilitate the unlocking of any locked artifacts within the platform.Use this feature with caution - only unlock components that you know are safe to do so - as if you unlock someone else's work, and then edit and save, there can be potential for data loss.Read more about this toolset within the Documentation:https://docs.neptune-software.com/neptune-dxp-open-edition/23/cockpit-overview/lock-entries.html
",107,public,2024-05-16 14:34:35.178842,
Foundation,, Configuring Tiles General Type And Action Type Example.Txt,transcription,,when you're configuring tiles is important to understand that there's two types there's the general type of your tile and there's the action type of your tile the general type depicts how the tile should look on your Launchpad for example this is a default type if I open a Launchpad that contains this tile will see that it's just a title it's description and an image as configured within the tile layout if we have a look at a different tile we can see that this type is Adaptive framework this means that an adaptive framework app will be running on top of the tile here is that tile running in the Launchpad you can see that there's an interactive application running on top of the Tar both of these tiles of the same action the type is application let's look at the original tile we can see hear application as well you can configure what applications should open when the user presses the tile here this will open this app and then our other tile you will open this app if we see this in Action both tiles have this action to open their own individual application,210,public,2024-05-16 14:34:35.179419,
Foundation,"Setup, Overview, Development Package & Marketplace Essentials",Downloading products from the Marketpalce & inspecting the packages,doc,,"
The Marketplace hosts a range of products, most of which you can install directly into your system.
Here is an example of a product you can install:


   There is a connection between Development Packages and Marketplace items you install.
  When you install a product, you are installing a package, which can contain one or more artifacts. Within the Marketplace, after installing, you can click ""Open Package"" to open the Development Package tool straight into the installed package
Here you can view the artifacts and utilise the shortcut to open them directly within their respective tools.

 
 Press “Open” within the product to view the Neptune hosted repository, which integrates with the package via the CI/CD configuration.
For the example above: 
https://github.com/neptune-software-marketplace/neptunesoftware-dxp-abb-uploadtomedialibrary
Note, Neptune published items will be contained within this GitHub organisation.

If a product is installed, a re-install button will be visible:


It is important to re-install carefully when updates are available. Here you can see an example of the messaging available when your currently installed version doesn’t match the latest version linked to the Marketplace product:


The best practice is to copy / export the development item(s) included in the package you wish to re-install, so if there are critical issues, you can restore the original copy.

",271,public,2024-05-16 14:34:35.180082,
Foundation,, The Open Ui5 Framework.Txt,text,,"
Here is the documentation reference for the Open UI5 framework implementation within the Open Edition:https://docs.neptune-software.com/neptune-dxp-open-edition/23/getting-started-guide/overview-openui5.htmlSome additional information about the Open UI5 framework worth noting - is that it is a subset of the full SAP UI5 library that is available. The Open UI5 collection is more than enough to build comprehensive applications, however, a few additional components exist only within the context of the full SAP UI5 library.You can read more about the difference between the two here:https://sapui5.hana.ondemand.com/sdk/#/topic/5982a9734748474aa8d4af9c3d8f31c0.htmlThis fact means it is not directly possible to export an SAP Edition App Designer application into the Open Edition App Designer, as they may be utilizing different library components.
",191,public,2024-05-16 14:34:35.180457,
Foundation,, 4 Build And Adaptive Tile Chart And Add It To The Launchpad.Txt,transcription,,hi in this session we will build a adaptive bar chart application in Google display it in a tile let's have a look at the end result we want a bar chart app displaying the roles of the employees as well as how many employees are in a specific role let's jump into the cockpit and open the adaptive designer we create a new app we give it a name a learning HR bar chart we will use the planet line adaptive tile chart template and we use the same connector as we used in the previous applications we save and now let's try the role filled into the chart we save in the chart has been automatically updated that's just the label under settings we increase the max number of items to 100 and save the chart a title roles let's increase the chart height to 280 and change the type to Bar received and the bar chart adaptive application is ready now let's create a tile group in a tile so we can add and display the app in the Launchpad we open the tile group click add we keep the tile group a name and the title Analytics we save and display now research for tile we click add give it a name and we change the type to adaptive framework since we want to display the app in the tile and of course we select the adaptive app that we have just built we save display and we move to the launch pad to add the tile group We select the HR Tower group and will add the analytics tile group inside therefore we will have both tile groups displayed on the same page then we add the bar chart tile which contains the adaptive application received display Android to see how the new tile looks like as you can see the adaptive app is displayed but the width of the tile is not ideal so let's adjust it we open the tile under layout you set the width to wide received display and refresh the Launchpad great tell the time looks much better and we can preview the roles and how many employees have that role,382,public,2024-05-16 14:34:35.181158,
Foundation,, Download The Elearning Example From The Marketplace.Txt,text,,"
If you have not already, you can download the eLearning 2022 Demo product from the Marketplace.This product will serve as an example for the next exercise in this chapter as well as within other exercises throughout the rest of this course.
",48,public,2024-05-16 14:34:35.181571,
Foundation,, Message Toast Inform End Users.Txt,transcription,,hello and welcome to the Silverlink video in this session I will walk you through the process of informing and users when actions are performed using the message toast from the cockpit open the app designer and press new to create a new application give it a name and save in this video I will utilise the build mode to have a Live preview of the components added to the application click on the build mode button then from the resources drug and drop an app component and the page after adding the page give it a title and the line title to the center I will continue bad and get v-bucks into the page and the button give the button a text and set the type to emphasised in this example the v-bucks is utilised the center of the button in the middle of the page so within the properties of the view box adjust the height to 100% then set the justify content to center the vertically centered the button and set the alarm items property to center to horizontally Center the bottom now we can add the logic AND depressive end of the button to trigger the message toast and inform the user when the button is clicked on the press event of the button select JavaScript and right click to access the code snippets search for masters toast and you will have two options to choose from message toast all options where you can customise the duration with an other properties of the message toast and message those simple what is example I will use the message to Simple click on copy and adjust the text to inform the user that the button is clicked save activate and press running designer to test the logic that we added when the button is pressed a master's toes appears notifying the user that the button has been clicked it's essential to keep end users informed about actions within the application the message those can serve multiple purposes and can be utilised in various scenarios throughout your application logic for instance it can inform users of successful actions or alert them when an error occurs well done now you know how to use the message toast in an application to inform the user's when actions are performed see you in the next lesson goodbye,409,public,2024-05-16 14:34:35.182326,
Foundation,, System Settings Configuration.Txt,text,,"
Other useful things to configure within the System Settings tool - include the:GeneralProvide a Name, Description and Role for your instance.The 'Role' in this context, could be ""Development"" or ""Production"" for example.The System Role is like a global setting, and can be utilised with multiple definitions for single artifacts, to use the correct record for the correct system. Such as different endpoints for APIs, with running Development or Production.Or for different auehentications when pointing to the next system in the development landscape (Such as Dev -> QA -> Prod)System Timeout, and other system timing settings.LicenseThis is a key area. It allows you to add a license key to unlock more users within your instance. For a license key, please contact your Neptune representative.Custom settingsA place to set custom texts that display on the login page, such as Privacy Policy or Terms of Service
",181,public,2024-05-16 14:34:35.182740,
Foundation,"Launchpad, Tile and Tile Group Basics",Launchpad Update Cycle,doc,,"The Launchpad is an Application that is created by Neptune, downloaded from the Marketplace and is regularly updated with new functionalities and bug fixes.
 
The Launchpad application name is 'planet9_launchpad_standard'.
When you configure a Launchpad within the developer cockpit, this is the application you choose within this ‘Launchpad Application’ field:

 
It is always recommended to be running the latest version of the Launchpad. You can check at any time, the Marketplace product, to view the version running within your instance, compared to the version available to download.
EG: When running the latest version, you will see this message:

When you are running a different version, you will see this message:
 
It is possible to make adjustments to the Launchpad application itself, like any other, but this is not recommended. For this purpose, there are 'Launchpad Enhancements' that cover this which will be explained in the expert level of this course.
If you attempt to use a different Launchpad application – you will see this warning:

",207,public,2024-05-16 14:34:35.183430,
Foundation,App Designer,App-Designer pt,doc,,"Foundation eLearning – Simple Form



This document describes the simpleForm component, its purpose, and how to use it. The simpleForm simplifies the creation and maintenance of forms in applications. 

Sap.ui.layout.form.SimpleForm
https://experience.sap.com/fiori-design-web/form/ 


NOTE: There is another component:
sap.ui.layout.form.Form

However this course and tutorial, will focus on the first component – the SimpleForm.

The SimpleForm automatically arranges form elements in a compact layout that adjusts to different screen sizes. It offers various properties and aggregations to define the layout and structure of the form elements, making it easy to create forms with labels and input fields, labels and checkboxes, or any other combination of components used in creating a form.

To showcase the capabilities of this component, the SAMPLE_SIMPLEFORMS application from the UI5 Application Samples package has been used. 

Download the UI5 Application Samples from the Marketplace and open the SAMPLE_SIMPLEFORMS application in the App Designer. 



This sample application contains 4 example SimpleForms

simpleForm Layouts 

The SAMPLE_SIMPLEFORMS application showcases four examples of simpleForms. These examples highlight various layouts and the editable property.

The layouts available to use on a simpleForm are: 

Grid Layout:



Responsive Grid Layout 



Responsive Layout



No Layout (the propery has no value assigned)


NOTE: Each of these forms behaves differently when it comes to responsive design.






simpleForm Editable property

The ‘editable’ property of the simpleForm aids with the label alignment to the form rows if the form has editable content. 

For example, the first three forms within the example have the editable property set to true, whereas the fourth has the editable property set to false. Therefore within the first three forms the labels are aligned with the form rows, and within the fourth form, the labels are not aligned with the form rows. 


















Responsivensess

One of the main advatages of the simpleForm is represented by its responsivness by default. This component automatically adjusts its layout to the screen size of the device being used, whether it's a desktop, tablet, or mobile device.







Conclusion

The simpleForm supports a variety of components, including checkboxes, various types of input fields, buttons, and other elements commonly used in form design. To fully understand its capabilities, the best approach is to experiment with it. Feel free to explore and experiment within the sample application to discover how the simpleForm can be used in different scenarios.
",509,public,2024-05-16 14:34:35.184297,
Foundation,, Buttons And Events.Txt,transcription,,no we can jump back and forth between our two screens and we can even demonstrate how when you add a second screen to your app the navigation button will automatically be configured to send you back to the previous screen but we do want to set up a button to take us to our second screen so let's choose this button on the header and we have this go to Screen action where we can simply select the name of the screen we wish to navigate to and now that's going to be configured if we jump back into rum mode we can select this button and we'll be able to navigate to our page with the table and back to our homepage,127,public,2024-05-16 14:34:35.184835,
Foundation,, Launchpad Update Cycle.Txt,text,,"

The Launchpad is an Application that is created by Neptune, downloaded from the Marketplace and is regularly updated with new functionalities and bug fixes. 
  
The Launchpad application name is 'planet9_launchpad_standard'. 
When you configure a Launchpad within the developer cockpit, this is the application you choose within this ‘Launchpad Application’ field:  
  
It is always recommended to be running the latest version of the Launchpad. You can check at any time, the Marketplace product, to view the version running within your instance, compared to the version available to download. 
EG: When running the latest version, you will see this message:  
When you are running a different version, you will see this message: 
  
It is possible to make adjustments to the Launchpad application itself, like any other, but this is not recommended. For this purpose, there are 'Launchpad Enhancements' that cover this which will be explained in the expert level of this course. 
If you attempt to use a different Launchpad application – you will see this warning: 
 

",234,public,2024-05-16 14:34:35.185331,
Foundation,, Authentication And Authorization.Txt,text,,"
Please read through this additional information for this topic area:https://docs.neptune-software.com/neptune-dxp-open-edition/23/overview/authentication_authorization.html
",36,public,2024-05-16 14:34:35.185686,
Foundation,, Use Cases For Server Scripts.Txt,text,,"
When should I use a Server Script?It is common to use APIs to communicate with server scripts from applications you build. You can pass data into scripts, to effect the processing logic, and choose what information to return, along with a success or error status. Unless specified, if a script completes without error it will be ""successful"" as code 200  if there is an issue, an error will occur and will be returned via the API as code 400.Server Scripts are also excellent for sensitive data processing. For example - you can retrieve data from a number of sources, compare and/or calculate before returning a response - without any of the sensitive data being sent to the client for processing. Server Scripts run on the Server.For user-specific operations. Scripts have a ""req.user"" property, which identifies the authenticated user attempting to communicate with the script. This can be used, for example to only access and return information for the user who is making the request to the script. This applies to scripts when being run within the Script Editor context, or when being called via API.For process-heavy tasks. Server Scripts utilize the power of the server and can run asynchronously, meaning large complex calculations or requests can run separately from users' devices, making them more performant.
",255,public,2024-05-16 14:34:35.186087,
Foundation,, 2 Edit App.Txt,transcription,,hi in today's session we will build an employee edit details adaptive application from the cockpit we open the adaptive designer we create a new application let's give it a name you learning HR employee edit we select the template which in our case is planet 9 adaptive edit we selected data source which is the connector that we used in the previous application and we press save being an idiot details application we will need all the fields from the table let's select them and drag them into the form press save great as you can see in the preview we have all the fields available now let's improve the layout of this form we select the form and we set the label span l and M 212 this configuration add spacing to the form and makes it look better in the settings we'll give the form a title on icon and we set a new colour for the icon the employee edit details adaptive application is built now in the following video we will connect the employee overview app to the employee edit details app that we just built to Showcase some more functionalities of the adaptive designer,207,public,2024-05-16 14:34:35.186671,
Foundation,, Basic Internal Table Functions.Txt,text,,"
Remember: 'entities' is referring to the database tables associated with the currently selected script.Within the 'entities' -> 'basic' code snippets, you can find a range of other ways of communicating with the table resources associated with your script.These code snippets provide the following structure:""entities.[tableName]"" followed by the method, such as .create or .deleteThis is utilizing the platform's built-in logic to complete the operation, compared to the TypeORM integration as seen previously, which utilizes the library functionality.Ultimately, there is no rule as to which entity operations are best to use - have a look at what is available and choose what you are familiar with creating and maintaining!
",139,public,2024-05-16 14:34:35.187015,
Foundation,, Programatically Interacting With Components.Txt,transcription,,hello and welcome to this learning video in this session I will guide you through the process of interacting with components programmatically this includes retrieving user input and displaying it in a text component as well as setting titles visibilities and more for this example I've built a basic application consisting of a page with a simple form the form includes two labels and input field for collecting the user's first name and a text component to display the user's name at the bottom of the page there is a footer with a refresh button on the left and a submit button in the middle within the app designer all the properties of the components can be set programmatically for instance the page currently doesn't have a title or a title alignment so let's set these programmatically drug and drop a JavaScript file into the resources of your application within this file we can begin writing the logic whenever you start typing a context menu will pop up aiding you in selecting components functions and methods the title we first need to reference the name of the page which in our case is Paige. And then we will use the set title method inside the parenthesis and quotes we enter the title for the page the same process applies will setting the title alignment reference the name of the page dart set title alignment method in the position will be Center save activate and within the preview tab we can see that the logic has been applied and the page now has centered title now let's proceed by capturing the user's first name from the input and displaying it within the text preview component however when the application is activated it's a necessary to have the preview label and an empty text displayed on the screen so let's set the visibility of these two components to false and we will revert this in our logic when displaying the user's name activate and now within the JavaScript file define a function called summit in this function will declare a constant called first name which is equal to the value of the input field in our case input first name dot get value and this constant will contain the user's first name next set visibility of the label preview and text preview components to true this is done by referencing the component names and using the set visible method such as label preview dot set visible true and text preview not set visible true with a preview no visible we can display the user's name using the text preview component to do this reference the text preview component and use the set text method within the parenthesis and quotes type your name is + the constant first name which contains the user's first name then within the press event of the submit button we can call the submit function save activite and now when the user types their first name and presses the submit button the submit function is called dysfunction captures the user's name sets the preview components to be visible and displace the user's name to continue we will utilise the refresh button to reset the application to it's initial state within the press event of the refresh button we set the value of the input first name to an empty string to clear the input field following this we set the label previous visibility to false then set the text preview to an empty string and finally set its visibility to false as well next we can include a message toast to notify the user that form has been cleared to do this right click and choose code snippets the goat snippets are reusable blocks of code designed to accelerate the development process the save time by providing ready-made segments of code for common tasks such as for Loops switch cases 4 matters and more this helps developers streamline their workflow and the way writing code from scratch for frequently used functionalities now search for message toast and copy paste the simple message toes code then we modify the text to indicate the action save activate and now after the user's first name is displayed and refresh button is clicked the form is cleared returning the up to it's initial state great but what if we want to clear the form a few seconds after the submit button is clicked so the user doesn't need to click the refresh button to do so we go back to the JavaScript file and within the submit function we can open the code snippets and search for a timeout function then we'll paste this function into our code within the timeout function will reference the bottom refresh and use the dart fire press method this method will simulate the click of the refresh button event without requiring the user to manually click it finally we adjust the delay time to 3000 milliseconds which is equivalent to 3 seconds save activite and now after the submit button is pressed the bottom refresh is automatically triggered after 3 seconds using the fire press method within the timeout function this automates the form clearing process without requiring the user to manually click the refresh button well done now you know how to programmatically interact with components feel free to experiment other components yourself within the application see you in the next lesson goodbye,945,public,2024-05-16 14:34:35.187816,
Foundation,, Basics Of The App Designer.Txt,transcription,,hello and welcome to this learning video during this session I will guide you through the app designer covering its basic functionality and will also explore a pre-built application together from the cockpit I will open the dxp marketplace and search for E-Learning I will select the E-Learning 2022 demo and install it once the installation is complete I will open the app designer and select the first application one create new equipment from the top part of the middle panel I will click on the play button and choose run in designer enabling the application to run within the panel then I will click on the edit button in the top bar of the app designer to switch the application to edit mode once you know this mode the same button can be used to switch the application back to display mode the top panel on the left represents the application 3 which contains all the components used in the application clicking on the app in the previous tab automatically selects the respective component within the tree making it easier to customise his properties the bottom panel on the left contains all the resources available for developing an application including sap opening i5 components bootstrap components hi charts and more this components can be dragged and dropped within the component tree above to develop your application you can search for a component using the search bar and then drag and drop it into the component tree when a component is selected the component tree highlights areas in green where aggregation is permitted and in red where it is not the aggregation helper assist in developing the application by preventing components from being placed where it is not permitted for example you cannot drag and drop on input field inside the label or within another input field however you can place the input field inside a simple form where aggregation is permitted in the top right panel you have the option to rename components and the original sappy 5 name of the component is displayed let's break it down let's take us an example a simple form the original technical name is sub. UI dot form dot simpler form where sub is the namespace prefix used by sap Wi-Fi to avoid naming conflicts with other libraries UI indicates that this is a user interface related module layout specifies that this control belongs to the layout module of SVU i5 which deals with arranging and organising UI elements form is the specific control or class name indicating that this is a form controlled used for organising and structuring form elements and the simple form part of the name clarifies its purpose which is the facilitate the creation and layout of forms such as those used for data entry or display the same applies for an input component sup is the name space prefix for sappu i5 m stands for mobile indicating that this control is part of the mobile specific UI controls provided by sappy 5 and input is the specific control name indicating that this is an input control used for receiving user input in the bottom right panel all the attributes properties and events of each selected component are displayed and available for configuration for instance within a label component you can add text to prompt the user about the expected information to be entered in an input field you can set it's editable property to false preventing the entry or you can add a placeholder to guide the user on the expected input after finishing the configuration of any attributes properties or events of a component you will need to save and activate the application to save button stores all changes while the activate button activates the application displaying all changes within the preview panel you can easily change any of the properties within a few clicks and activate to preview the changes in the other designer right clicking on any component in a componentry will bring up a context menu with various options you can copy paste components easily delete them and multi select components to duplicate them components can be rearranged within the component tree by dragging and dropping additionally you can disable components which means they won't be rendered but will still be present in the componentry the episode of first two modes run mode which we've been using requires activation after making any changes to the application on the other hand build mode allows for instant preview of Visual changes made to the application for example I have a second tab with a simple application running in build mode here I can modify the title of the page and the change is immediately visible in the previous tab without the need to activate the application the main difference between run mode and build mode is that build mode renders UI changes without activation meaning functional changes to the application won't be applied until activation therefore you can use build mode when designing the user interface of the application and switch to run mode when starting to develop the functional side of the application finally within the application context menu you can open another application create a new application export or import an application or copy the application to copy an application click on copy within the dialogue specify a name for the application and click save then a copy of the application is available for you to use well done now you know the basics of the app designer see you in the next lessons where we will further explore the functionality of the app designer goodbye,976,public,2024-05-16 14:34:35.188750,
